Business Unit,Emissions(tCO2e)
BU3,1692896.62234527
BU2,9384.0598998
BU10,4498.245619534779
BU5,3021.917265
BU6,1971.585957
BU7,1915.012698837373
BU8,1864.3564798150744
BU9,11.373929
BU4,3.9163837999999997
BU1,1.105566
BU11,0.36182159999999997
